"Timestamp","¿Cuál es tu genero?","¿Qué edad tienes?","¿De dónde es tu procedencia?","¿Estudiaste sistemas por elección propia?","¿Estudiaste carreras simultaneas?","¿Te cambiaste de carrera?","¿Fuiste Becado?","¿Fuiste excelencia académica?","¿Cual fue tu promedio de graduación?","¿Trabajaste y estudiaste?","En promedio ¿Cuantas clases por periodo llevabas?","¿Cuantos años tardaste en graduarte de ingeniería en sistemas?","En general, ¿ Los ingenieros con los que metiste clases eran buenos dando la clase?","¿Estás satisfecho con los conocimientos que te impartieron en la universidad?","¿Qué herramientas y tecnologías aprendiste en la universidad?","¿Qué herramientas y tecnologías aprendiste por tu cuenta?","¿Estuviste en actividades extracurriculares como ser deportes, hackathon, Honduras startup, etc.?","¿Cuáles son las áreas que menos te gustaron de ingeniería en sistemas?","¿Cuales fueron las áreas que mas te gustaron de ingeniera en sistemas?","¿Te sentiste preparado al momento de ir a practica profesional?","¿Como era lucia tu portafolio a la hora de ir a la practica profesional?","¿Sentiste que los conocimientos de la practica te ayudaron para entrar al mercado laboral?","¿Cual fue tu año de graduación?","¿Cual fue tu mes de graduación?","¿Habías trabajado en algo relacionado a la carrera antes de graduarte?","¿Te gustó tu lugar de práctica?","¿Te ofrecieron quedarte en la empresa donde realizaste tu práctica?","¿Trabajas o trabajaste donde realizaste tu práctica?","En tu experiencia, ¿qué herramientas consideras más importantes en el mercado actual?","Después de graduarte ¿ Has estado actualizándote en las nuevas tecnologías?","¿Actualmente tienes trabajo?","Si tienes trabajo ¿Tu trabajo actual esta relacionado a la ingeniería en sistemas?","¿Cuántos meses estuviste desempleado después de tu graduación?","¿Trabajas en tu área de preferencia?","¿Tenías trabajo antes de graduarte?","¿Cuál era tu nivel de inglés antes de tu graduación?","¿Cuánto conocías del desarrollo del software antes de graduarte?","¿Cuánto conocías de infraestructura de red antes de graduarte?","¿Cuánto conocías de manejo de servidores antes de graduarte?","¿Cuánto conocías  del diseño de software antes de graduarte?","¿Cuánto conocías de administración de empresas antes de graduarte?","¿Te gustaba liderar proyectos antes de graduarte?","¿Qué tan proactivo te considerabas antes de graduarte?","¿Utilizabas tu tiempo libre para aprender herramientas por tu cuenta cuando seguías en la universidad?","¿Eras buen expositor?","¿Eras buen negociador?","¿Acostumbrabas a ser coordinador en tus grupos en las clases de la universidad?","¿Te consideras introvertido?","¿Te consideras competitivo?","¿Te molestas con facilidad?"
"2020/04/07 3:14:21 PM CDT","Hombre","26","Cerro de Hula","Sí","No","Sí","No","No","75","Sí","4","8","El 50% eran buenos dando la clase","Sí","uso de lenguajes de programacion como java, php, sql y herramientas como visual studio, netbeans, eclipse","lenguajes como python, ionic, angular, postgresql herramientas como visual studio code, corel draw","Sí","Electrónica","Programación;Redes","No","algo pequeño, no tenia mucha experiencia en diversas cosas","Sí","2019","9","Sí","Sí","Sí","Si","aprender lenguajes como python y aprender tecnologias para desarrollo web","Sí","Sí","","0","Sí","Sí","3","3","1","2","3","2","No","5","Sí","Si","No","No","Sí","No","No"
"2020/04/07 3:32:48 PM CDT","Hombre","26","La ceiba, atlantida ","Sí","No","No","No","No","79","Sí","4","6","El 70% eran buenos dando la clase","Sí","Fueron más habilidades como facilidad para aprender las herramientas","Casi todas","Sí","Redes","Programación","Sí","Por la experiencia laboral nada mal","Sí","2019","11","Sí","Sí","Sí","No","Habilidades de comunicación, expresión, etc... No simplemente saber todo de memoria ","Sí","Sí","","0","Sí","Sí","2","3","1","3","3","3","Sí","4","Sí","Si","Sí","Sí","No","Sí","No"
"2020/04/07 5:01:27 PM CDT","Hombre","26","Tegucigalpa ","Sí","No","No","No","No","78","No","4","7","El 50% eran buenos dando la clase","No","Web, Escritorio, IA, Lean, Desarrollo ágiles, finanzas, electrónica.","CA-Plex, RPA’s, Python, Scrum, Android, IOS, React, Angular, React Native, Electronjs, teoría de tubos al vacío, Blue Prints, Apex, Despliegues de apps en la nube.","Sí","Redes","Programación;Electrónica;Administración","No","Básico ","No","2019","6","No","Sí","No","No","Despliegue en la nube","Sí","No","","2","No","Sí","2","4","1","1","4","3","Sí","4","Sí","Si","Sí","Sí","Sí","Sí","No"
"2020/04/07 5:07:30 PM CDT","Hombre","27","Tegucigalpa","Sí","No","Sí","No","Sí","80","No","4","7","El 60% eran buenos dando la clase","No","Programación en Java, infraestructura de redes","Especialización en redes ","No","Administración","Redes;Electrónica","No","No entendí la pregunta","Sí","2019","09","No","Sí","No","No","Desarrollo web, Python, administración de redes","No","Sí","","4 ","Sí","No","3","2","4","2","2","3","Sí","2","No","No","Sí","No","No","Sí","No"
"2020/04/07 5:24:08 PM CDT","Hombre","33","Tegucigalpa ","Sí","No","No","No","No","78","Sí","4","10","El 60% eran buenos dando la clase","No","Ides, workbench, visual estudio, etc.","Ides, workbench, visual estudio, etc","No","Programación","Redes;Electrónica","No","Escaso. ¿Oye que no te enseñó el Ing. De tópicos a definir terminologías antes de poner encuestas? Y además tienes demasiadas preguntas abiertas, no quiero molestar pero creo que le faltó preparación al borrador de la encuesta. ","No","2019","11 ","No","Sí","No","No","Networking, programación móvil, ciber seguridad. ","Sí","No","","4","No","No","3","3","4","1","4","3","No","3","Sí","Si","No","Sí","Sí","No","Sí"
"2020/04/07 5:32:12 PM CDT","Hombre","26","Tegucigalpa ","Sí","No","No","No","Sí","79","No","4","5","El 40%  o menos eran buenos dando la clase","No","Las necesarias y básicas para pasar mis clases, por lo cual son varias y me remito a no divulgar ","Ninguno ","Sí","Redes","Programación;Electrónica;Administración","No","Pues ser de la Autónoma da un plus, pero realmente falta saber más ","Sí","2018","08","No","Sí","Sí","No","Pues hay diferentes tecnología y depende de la necesidad y del proyecto ","Sí","Sí","","0","Sí","Sí","3","4","2","1","3","3","Sí","3","Sí","No","No","Sí","No","No","No"
"2020/04/08 2:15:38 PM CDT","Mujer","26","Tegucigalpa","Sí","No","No","No","No","79","Sí","4","5","El 90% eran buenos dando la clase","Sí","Desarrollo, análisis de datos, redes, metodologías, buenas prácticas, proyectos de emprendimiento. ","Herramientas de Microsoft empresariales, sistemas de SAP, certificación en itil","No","Programación","Electrónica;Administración","Sí","Bien, debido a que ya tenia experiencia laboral. ","Sí","2019","11","Sí","Sí","Sí","Si","Para gestionar proyectos, de desarrollo móvil y web, las empresariales, de administración (usuarios, servidores, equipos de comunicaciones) ","Sí","Sí","Sí","0","Sí","Sí","2","4","4","2","4","4","Sí","5","No","Si","No","No","Sí","Sí","No"
"2020/04/09 5:22:35 PM CDT","Hombre","24","Tegucigalpa","Sí","No","No","No","No","76","No","4","6","El 70% eran buenos dando la clase","No","Tecnologiaa como bases de datos,redes, IDEs para la programar","Sistemas operativos, electrónica básica","No","Electrónica;Administración","Programación;Redes","Sí","Algo básico sin mucho para ofrecer sin nada más que los conocimientos de la carrera.","Sí","2020","3","No","No","No","No","Inglés avanzado, ser proactivo y no tener miedo a los desafios","Sí","No","","7","No","No","3","4","3","2","4","3","No","3","Sí","No","No","No","Sí","Sí","Sí"
"2020/04/09 5:45:13 PM CDT","Hombre","26","Tegucigalpa","Sí","No","Sí","No","No","75","Sí","4","8","El 60% eran buenos dando la clase","Sí","Bases de datos SQL, MongoDB, Lenguajes de programación, Java, JavaScript, PHP, C++, y frameworks como ser jQuery, Bootstrap, entre otras cosas más ","Vue JS, Node JS ","Sí","Electrónica","Programación;Redes;Administración","No","Algo sencillo, con proyectos grupales de Ing de Software, e Industria y con el proyecto individual de desarrollo web","No","2020","3","No","Sí","No","Si","Considero que es bien importante la parte de programación, lo que pasa es que es todo un mundo, si me quiero poner a aprender una tecnología me llevaría mucho tiempo, lo que yo hago es buscar las cosas que necesito y al encontrarlas llevarlas a la practica y entre mas practica uno, más experiencia adquiere, pero sin retos en mente es muy complicado ganar experiencia, los retos como cuando teníamos proyectos en las clases","Sí","No","No","1 ","No","Sí","3","3","2","1","3","3","Sí","4","Sí","Si","No","Sí","Sí","Sí","No"
"2020/04/09 6:45:13 PM CDT","Hombre","25","Zamorano","Sí","No","Sí","Sí","No","78","Sí","4","5","El 40%  o menos eran buenos dando la clase","No","Lo basico mysql, java","Laravel, ionic, jquery, jscript, angular","No","Programación","Programación","Sí","no tenia","Sí","2020","2","Sí","Sí","Sí","Si","El entorno web, y app ","Sí","Sí","Sí","0","Sí","Sí","2","5","2","2","4","2","Sí","5","Sí","No","No","Sí","Sí","Sí","Sí"
