columna.name,translation
Timestamp,timestamp
X.Cuál.es.tu.genero.,genero
X.Qué.edad.tienes.,edad
X.De.dónde.es.tu.procedencia.,procedencia
X.Estudiaste.sistemas.por.elección.propia.,eleccion_estudio
X.Estudiaste.carreras.simultaneas.,carrera_simultanea
X.Te.cambiaste.de.carrera.,cambio_carrera
X.Fuiste.Becado.,becado
X.Fuiste.excelencia.académica.,excelencia_academica
X.Cual.fue.tu.promedio.de.graduación.,promedio_graduacion
X.Trabajaste.y.estudiaste.,trabajo_y_estudio
En.promedio..Cuantas.clases.por.periodo.llevabas.,clases_por_periodo
X.Cuantos.años.tardaste.en.graduarte.de.ingeniería.en.sistemas.,tiempo_graduacion
En.general....Los.ingenieros.con.los.que.metiste.clases.eran.buenos.dando.la.clase.,rendimiento_docente
X.Estás.satisfecho.con.los.conocimientos.que.te.impartieron.en.la.universidad.,calidad_contenido
X.Qué.herramientas.y.tecnologías.aprendiste.en.la.universidad.,tecnologias_unah
X.Qué.herramientas.y.tecnologías.aprendiste.por.tu.cuenta.,tecnologias_autodidacta
X.Estuviste.en.actividades.extracurriculares.como.ser.deportes..hackathon..Honduras.startup..etc..,actividades_extracurriculares
X.Cuáles.son.las.áreas.que.menos.te.gustaron.de.ingeniería.en.sistemas.,areas_no_favoritas
X.Cuales.fueron.las.áreas.que.mas.te.gustaron.de.ingeniera.en.sistemas.,areas_favoritas
X.Te.sentiste.preparado.al.momento.de.ir.a.practica.profesional.,preparacion_practica
X.Como.era.lucia.tu.portafolio.a.la.hora.de.ir.a.la.practica.profesional.,portafolio
X.Sentiste.que.los.conocimientos.de.la.practica.te.ayudaron.para.entrar.al.mercado.laboral.,conocimientos_ayudaron
X.Cual.fue.tu.año.de.graduación.,anio_graduacion
X.Cual.fue.tu.mes.de.graduación.,mes_graduacion
X.Habías.trabajado.en.algo.relacionado.a.la.carrera.antes.de.graduarte.,trabajo_por_carrera
X.Te.gustó.tu.lugar.de.práctica.,gustar_practica
X.Te.ofrecieron.quedarte.en.la.empresa.donde.realizaste.tu.práctica.,ofrecieron_trabajo_practica
X.Trabajas.o.trabajaste.donde.realizaste.tu.práctica.,trabajo_practica
En.tu.experiencia...qué.herramientas.consideras.más.importantes.en.el.mercado.actual.,tecnologias_mercado_laboral
Después.de.graduarte...Has.estado.actualizándote.en.las.nuevas.tecnologías.,actualizacion_tecnologias
X.Actualmente.tienes.trabajo.,trabajo_actual
Si.tienes.trabajo..Tu.trabajo.actual.esta.relacionado.a.la.ingeniería.en.sistemas.,trabajo_ingeniero_sistemas
X.Cuántos.meses.estuviste.desempleado.después.de.tu.graduación.,meses_desempleado
X.Trabajas.en.tu.área.de.preferencia.,trabajo_area_preferencia
X.Tenías.trabajo.antes.de.graduarte.,trabajo_pre_graduacion
X.Cuál.era.tu.nivel.de.inglés.antes.de.tu.graduación.,nivel_ingles
X.Cuánto.conocías.del.desarrollo.del.software.antes.de.graduarte.,nivel_programacion
X.Cuánto.conocías.de.infraestructura.de.red.antes.de.graduarte.,nivel_redes
X.Cuánto.conocías.de.manejo.de.servidores.antes.de.graduarte.,nivel_servidores
X.Cuánto.conocías..del.diseño.de.software.antes.de.graduarte.,nivel_disenio
X.Cuánto.conocías.de.administración.de.empresas.antes.de.graduarte.,nivel_admin
X.Te.gustaba.liderar.proyectos.antes.de.graduarte.,lider_proyectos
X.Qué.tan.proactivo.te.considerabas.antes.de.graduarte.,nivel_proactividad
X.Utilizabas.tu.tiempo.libre.para.aprender.herramientas.por.tu.cuenta.cuando.seguías.en.la.universidad.,nivel_autodidacta
X.Eras.buen.expositor.,expositor
X.Eras.buen.negociador.,negociador
X.Acostumbrabas.a.ser.coordinador.en.tus.grupos.en.las.clases.de.la.universidad.,lider
X.Te.consideras.introvertido.,introvertido
X.Te.consideras.competitivo.,competitivo
X.Te.molestas.con.facilidad.,irritabilidad
